ImpressionID,CampaignName,AdvertiserName,PublisherName,AdFormat,DeviceType,EventTime,EventType,Revenue,Cost,PixelFired,CreativeID
SIMP2000000,NewLaunch,OmniAds,FashionMag,banner,Tablet,2024-03-14 20:48:45.248179,impression,0.0,1.1422,N,CR5114
SIMP2000001,AppInstall,Marketify,SportsDaily,video,Tablet,2024-07-04 22:07:37.248179,click,10.22,0.0262,Y,CR8511
SIMP2000002,Holiday Promo,Marketify,NewsToday,banner,Mobile,2024-03-24 17:30:24.248179,impression,0.0,1.2573,N,CR7072
SIMP2000003,Video_Boost ,Adverto,TechForum,video,Desktop,2024-02-07 15:42:01.248179,impression,0.0,0.816,Y,CR7378
SIMP2000004,Summer_Sale,Acme Corp,SportsDaily,richmedia,Desktop,2024-08-16 09:39:33.248179,impression,0.0,0.1967,Y,CR4869
SIMP2000005,Video_Boost,BlueSky,SportsDaily,interstitial,Tablet,2025-03-06 10:05:27.248179,impression,0.0,0.3835,Y,CR4669
SIMP2000006,BrandAwareness,Globex,NewsToday,richmedia,Mobile,2024-11-05 22:47:21.248179,impression,0.0,1.2856,N,CR4492
SIMP2000007,AppInstall,BlueSky,MovieHub,video,Desktop,2025-10-14 23:39:40.248179,impression,0.0,1.2541,N,CR7873
SIMP2000008,Video_Boost,Acme Corp,NewsToday,banner,Tablet,2024-04-09 10:47:48.248179,impression,0.0,1.3552,N,CR1105
SIMP2000009,NewLaunch,Globex,TechForum,richmedia,Desktop,2024-10-13 11:09:12.248179,impression,0.0,1.4645,N,CR1684
SIMP2000010,AppInstall,Globex,NewsToday,banner,Tablet,2024-12-02 22:26:56.248179,impression,0.0,0.5873,Y,CR6769
SIMP2000011,Holiday Promo,Innotech,MovieHub,native,Tablet,2025-06-10 11:24:34.248179,click,32.42,0.9246,Y,CR2106
SIMP2000012,NewLaunch,Adverto,TechForum,interstitial,Tablet,2025-10-14 01:05:11.248179,impression,0.0,1.9678,N,CR8970
SIMP2000013,NewLaunch,Marketify,TechForum,richmedia,Desktop,2024-07-05 00:44:33.248179,impression,0.0,0.4013,N,CR1308
SIMP2000014,Holiday Promo,OmniAds,MovieHub,native,Mobile,2023-12-24 12:28:18.248179,impression,0.0,0.8387,N,CR7654
SIMP2000015,Summer_Sale,Innotech,FashionMag,banner,Mobile,2024-02-11 10:48:24.248179,impression,0.0,1.655,Y,CR6642
SIMP2000016,Video_Boost,Innotech,NewsToday,interstitial,Desktop,2023-11-10 05:46:42.248179,impression,0.0,0.6642,Y,CR8597
SIMP2000017,Summer_Sale ,Acme Corp,TechForum,richmedia,Desktop,2024-05-05 16:28:31.248179,impression,0.0,0.2717,N,CR1426
SIMP2000018,Summer_Sale,Globex,NewsToday,interstitial,Desktop,2025-03-12 00:37:10.248179,impression,0.0,0.0201,N,CR2418
SIMP2000019,Video_Boost,Adverto,SportsDaily,interstitial,Desktop,2024-10-08 00:35:08.248179,click,20.6,0.0403,N,CR1704
SIMP2000020,Video_Boost,Marketify,NewsToday,interstitial,Mobile,2024-01-18 06:15:33.248179,impression,0.0,0.4323,N,CR5776
SIMP2000021,Holiday Promo,Globex,MovieHub,interstitial,Desktop,2024-09-11 22:35:34.248179,impression,0.0,1.2885,N,CR8486
SIMP2000022,Video_Boost ,Acme Corp,SportsDaily,interstitial,Mobile,2025-09-26 12:29:33.248179,click,20.37,0.815,N,CR1733
SIMP2000023,Prospect_Camp,Adverto,TechForum,banner,Tablet,2024-03-14 14:30:51.248179,click,38.28,1.0892,N,CR7299
SIMP2000024,Retargeting,Innotech,TechForum,richmedia,Mobile,2025-07-20 20:25:12.248179,click,2.6,0.8239,N,CR5938
SIMP2000025,AppInstall,Adverto,CookingBlog,video,Mobile,2024-06-23 03:23:53.248179,impression,0.0,1.1493,Y,CR6453
SIMP2000026,AppInstall,OmniAds,CookingBlog,richmedia,Mobile,2024-06-13 19:29:55.248179,impression,0.0,0.2617,N,CR8943
SIMP2000027,Prospect_Camp,BlueSky,SportsDaily,video,Mobile,2024-12-09 05:08:29.248179,click,47.38,0.3295,N,CR2799
SIMP2000028,Holiday Promo,OmniAds,CookingBlog,native,Tablet,2023-11-12 10:08:17.248179,impression,0.0,1.5825,N,CR3720
SIMP2000029,NewLaunch,Globex,MovieHub,native,Tablet,2024-01-16 14:58:07.248179,impression,0.0,0.7422,Y,CR3907
SIMP2000030,NewLaunch,Innotech,SportsDaily,banner,Mobile,2024-06-22 23:59:34.248179,impression,0.0,0.5792,N,CR2077
SIMP2000031,BrandAwareness ,Globex,SportsDaily,richmedia,Mobile,2024-07-21 00:26:03.248179,impression,0.0,1.5781,Y,CR7503
SIMP2000032,Holiday Promo ,Globex,CookingBlog,native,Desktop,2025-10-01 03:13:35.248179,click,13.13,0.948,N,CR7519
SIMP2000033,Prospect_Camp,BlueSky,FashionMag,banner,Mobile,2024-09-06 19:00:35.248179,click,47.74,1.8185,N,CR3875
SIMP2000034,Holiday Promo,BlueSky,SportsDaily,video,Tablet,2025-04-13 11:02:08.248179,impression,0.0,0.4936,Y,CR6306
SIMP2000035,Video_Boost,Globex,NewsToday,native,Tablet,2024-03-09 04:38:15.248179,impression,0.0,1.8747,Y,CR9022
SIMP2000036,Holiday Promo,Marketify,SportsDaily,native,Mobile,2024-08-11 15:20:34.248179,impression,0.0,1.6912,N,CR3217
SIMP2000037,Video_Boost,Innotech,CookingBlog,native,Mobile,2024-05-10 06:55:46.248179,impression,0.0,1.9258,N,CR4329
SIMP2000038,BrandAwareness,Adverto,NewsToday,interstitial,Mobile,2025-05-01 19:59:19.248179,click,26.39,1.8709,N,CR3463
SIMP2000039,Video_Boost,Acme Corp,FashionMag,video,Tablet,2024-12-03 09:03:41.248179,impression,0.0,0.3765,N,CR3412
SIMP2000040,Retargeting,Marketify,MovieHub,native,Desktop,2024-07-08 17:00:25.248179,impression,0.0,0.2746,Y,CR2122
SIMP2000041,NewLaunch,Marketify,SportsDaily,richmedia,Desktop,2024-03-30 18:55:36.248179,impression,0.0,1.0757,Y,CR3806
SIMP2000042,Summer_Sale,OmniAds,MovieHub,richmedia,Tablet,2025-02-06 00:12:57.248179,impression,0.0,1.4267,Y,CR5312
SIMP2000043,Holiday Promo,Globex,CookingBlog,interstitial,Tablet,2025-09-04 16:31:58.248179,click,44.25,0.0238,N,CR7850
SIMP2000044,Prospect_Camp,Globex,TechForum,interstitial,Tablet,2024-09-01 19:10:21.248179,click,4.7,0.4365,Y,CR4115
SIMP2000045,NewLaunch,Acme Corp,MovieHub,banner,Mobile,2024-12-17 06:21:22.248179,impression,0.0,1.5656,Y,CR7424
SIMP2000046,Holiday Promo,Acme Corp,SportsDaily,interstitial,Mobile,2025-02-22 04:59:33.248179,impression,0.0,0.5552,N,CR6860
SIMP2000047,Summer_Sale,OmniAds,CookingBlog,video,Desktop,2025-09-04 00:12:39.248179,click,21.55,1.2566,Y,CR5978
SIMP2000048,Holiday Promo,Adverto,TechForum,video,Desktop,2025-09-23 04:43:29.248179,click,20.81,0.8463,Y,CR6211
SIMP2000049,Retargeting,Innotech,TechForum,native,Mobile,2025-02-08 03:07:55.248179,impression,0.0,0.406,N,CR9009
SIMP2000050,AppInstall,OmniAds,MovieHub,banner,Mobile,2024-02-06 14:43:31.248179,impression,0.0,1.4053,Y,CR7824
SIMP2000051,NewLaunch,Acme Corp,NewsToday,native,Tablet,2024-10-26 00:58:13.248179,click,46.72,1.2447,N,CR3299
SIMP2000052,Video_Boost,OmniAds,TechForum,richmedia,Desktop,2025-09-17 02:43:38.248179,impression,0.0,1.9271,N,CR3862
SIMP2000053,NewLaunch,OmniAds,TechForum,interstitial,Tablet,2025-10-13 08:24:51.248179,impression,0.0,0.8377,Y,CR3659
SIMP2000054,BrandAwareness,OmniAds,FashionMag,native,Mobile,2025-07-05 00:29:15.248179,impression,0.0,1.8058,N,CR6962
SIMP2000055,BrandAwareness,Marketify,FashionMag,interstitial,Tablet,2025-08-23 13:30:28.248179,impression,0.0,0.1188,Y,CR2715
SIMP2000056,Prospect_Camp,Acme Corp,FashionMag,native,Desktop,2024-01-18 23:17:57.248179,impression,0.0,1.5961,Y,CR3940
SIMP2000057,BrandAwareness,BlueSky,CookingBlog,banner,Tablet,2025-08-05 01:02:50.248179,click,13.37,1.6053,Y,CR8035
SIMP2000058,BrandAwareness,Globex,MovieHub,richmedia,Tablet,2025-02-08 09:11:46.248179,impression,0.0,1.8457,N,CR2315
SIMP2000059,AppInstall,Innotech,MovieHub,banner,Desktop,2024-07-24 22:13:27.248179,click,26.94,1.4945,Y,CR9988
SIMP2000060,Holiday Promo,Innotech,CookingBlog,banner,Desktop,2025-07-30 13:37:29.248179,impression,0.0,0.2481,Y,CR5759
SIMP2000061,Retargeting,Globex,CookingBlog,interstitial,Mobile,2025-05-29 13:56:39.248179,impression,0.0,0.4967,Y,CR9407
SIMP2000062,NewLaunch,OmniAds,FashionMag,banner,Mobile,2024-03-15 11:19:09.248179,impression,0.0,0.2974,Y,CR8488
SIMP2000063,Video_Boost,Acme Corp,TechForum,native,Tablet,2025-05-26 16:36:39.248179,impression,0.0,1.7596,N,CR1151
SIMP2000064,Prospect_Camp,Innotech,TechForum,native,Tablet,2025-07-15 08:36:34.248179,click,7.35,0.022,N,CR2848
SIMP2000065,Video_Boost,Innotech,CookingBlog,richmedia,Desktop,2025-02-22 20:44:15.248179,impression,0.0,0.665,N,CR4155
SIMP2000066,Video_Boost,Acme Corp,TechForum,native,Mobile,2024-01-11 17:16:32.248179,impression,0.0,0.6064,N,CR7327
SIMP2000067,Summer_Sale,Innotech,SportsDaily,video,Tablet,2024-12-11 13:37:46.248179,impression,0.0,1.8583,N,CR9269
SIMP2000068,BrandAwareness,Acme Corp,FashionMag,native,Tablet,2025-02-04 07:44:02.248179,click,44.45,0.2608,N,CR9995
SIMP2000069,Prospect_Camp,Marketify,NewsToday,richmedia,Tablet,2024-03-07 11:49:39.248179,impression,0.0,1.1164,N,CR2768
SIMP2000070,Retargeting,Adverto,FashionMag,video,Desktop,2025-07-13 10:22:08.248179,click,9.51,0.2283,Y,CR5486
SIMP2000071,BrandAwareness,Acme Corp,NewsToday,banner,Mobile,2023-11-23 14:13:33.248179,impression,0.0,0.199,N,CR9046
SIMP2000072,Prospect_Camp,BlueSky,SportsDaily,richmedia,Mobile,2024-04-29 10:25:27.248179,conversion,21.22,1.8564,N,CR1163
SIMP2000073,Prospect_Camp,OmniAds,MovieHub,richmedia,Desktop,2024-08-14 04:12:30.248179,click,29.87,0.8964,N,CR3806
SIMP2000074,NewLaunch,OmniAds,CookingBlog,richmedia,Tablet,2024-08-19 21:37:20.248179,impression,0.0,0.1174,Y,CR8166
SIMP2000075,BrandAwareness,Adverto,TechForum,video,Tablet,2024-11-06 13:17:10.248179,click,6.82,0.4053,Y,CR1990
SIMP2000076,BrandAwareness,BlueSky,FashionMag,video,Mobile,2025-04-09 19:22:08.248179,click,26.89,1.3058,N,CR5559
SIMP2000077,Prospect_Camp,BlueSky,FashionMag,interstitial,Mobile,2025-06-09 07:32:44.248179,impression,0.0,0.4273,N,CR2405
SIMP2000078,NewLaunch,Globex,NewsToday,banner,Tablet,2025-07-19 07:05:57.248179,conversion,9.29,1.3535,N,CR9968
SIMP2000079,Prospect_Camp,BlueSky,SportsDaily,richmedia,Mobile,2024-11-21 06:02:22.248179,impression,0.0,1.1541,Y,CR6070
SIMP2000080,Prospect_Camp ,Acme Corp,MovieHub,banner,Tablet,2024-03-28 03:09:24.248179,impression,0.0,0.3207,Y,CR6334
SIMP2000081,NewLaunch,Adverto,FashionMag,native,Tablet,2025-04-08 13:46:59.248179,impression,0.0,0.5886,N,CR7175
SIMP2000082,BrandAwareness,Innotech,CookingBlog,interstitial,Mobile,2025-09-18 00:55:17.248179,impression,0.0,1.8511,N,CR5078
SIMP2000083,Summer_Sale,Innotech,NewsToday,banner,Tablet,2025-10-02 00:54:52.248179,impression,0.0,1.3085,Y,CR7427
SIMP2000084,Holiday Promo,Marketify,CookingBlog,interstitial,Tablet,2025-05-13 06:02:04.248179,impression,0.0,1.581,Y,CR2567
SIMP2000085,Video_Boost ,Acme Corp,TechForum,native,Desktop,2025-10-23 15:26:48.248179,impression,0.0,0.8424,Y,CR1667
SIMP2000086,AppInstall ,BlueSky,NewsToday,video,Desktop,2025-04-12 21:19:41.248179,impression,0.0,0.2388,N,CR4315
SIMP2000087,Summer_Sale,BlueSky,FashionMag,video,Desktop,2024-03-15 14:49:30.248179,impression,0.0,1.6031,Y,CR7060
SIMP2000088,Prospect_Camp,OmniAds,SportsDaily,interstitial,Tablet,2024-02-17 01:34:14.248179,impression,0.0,0.6167,Y,CR8968
SIMP2000089,Video_Boost,Marketify,CookingBlog,banner,Desktop,2024-02-19 02:52:40.248179,click,4.22,1.2011,Y,CR8108
SIMP2000090,Retargeting,BlueSky,FashionMag,banner,Tablet,2024-09-20 22:03:53.248179,impression,0.0,0.9147,N,CR5167
SIMP2000091,Summer_Sale,Adverto,MovieHub,native,Mobile,2025-04-07 07:38:05.248179,impression,0.0,1.8084,N,CR2497
SIMP2000092,Video_Boost ,Marketify,FashionMag,banner,Mobile,2025-09-17 16:27:17.248179,impression,0.0,1.3529,Y,CR3042
SIMP2000093,NewLaunch,Adverto,MovieHub,richmedia,Tablet,2024-12-09 21:10:08.248179,impression,0.0,1.4384,Y,CR4907
SIMP2000094,Summer_Sale ,Adverto,CookingBlog,video,Tablet,2024-04-16 13:56:21.248179,impression,0.0,0.3145,Y,CR5465
SIMP2000095,Retargeting,Innotech,TechForum,native,Tablet,2024-01-26 22:16:45.248179,impression,0.0,1.681,N,CR4508
SIMP2000096,Holiday Promo,Globex,FashionMag,native,Mobile,2023-12-17 16:16:48.248179,impression,0.0,0.2708,N,CR9153
SIMP2000097,Retargeting ,Globex,MovieHub,video,Mobile,2025-07-26 21:22:01.248179,impression,0.0,0.1781,N,CR3050
SIMP2000098,AppInstall,BlueSky,MovieHub,native,Mobile,2024-08-30 03:40:39.248179,impression,0.0,0.3538,Y,CR5752
SIMP2000099,NewLaunch,Adverto,FashionMag,interstitial,Tablet,2024-07-04 10:25:22.248179,impression,0.0,1.247,N,CR4860
SIMP2000100,Retargeting ,Marketify,SportsDaily,native,Mobile,2025-09-27 20:53:30.248179,impression,0.0,0.1108,Y,CR3096
SIMP2000101,BrandAwareness,BlueSky,FashionMag,richmedia,Mobile,2025-06-24 13:22:23.248179,impression,0.0,1.6289,N,CR1920
SIMP2000102,AppInstall,BlueSky,CookingBlog,interstitial,Tablet,2025-02-17 11:26:56.248179,impression,0.0,0.666,N,CR7526
SIMP2000103,Retargeting,Globex,TechForum,interstitial,Mobile,2025-08-06 18:02:07.248179,impression,0.0,0.4973,Y,CR5128
SIMP2000104,BrandAwareness,Acme Corp,MovieHub,interstitial,Desktop,2023-11-08 23:17:40.248179,impression,0.0,0.9367,N,CR5448
SIMP2000105,Video_Boost,OmniAds,MovieHub,native,Mobile,2025-04-05 05:43:39.248179,impression,0.0,1.9755,Y,CR8654
SIMP2000106,Prospect_Camp,Acme Corp,MovieHub,banner,Mobile,2025-06-26 06:33:23.248179,click,24.61,1.3426,N,CR6770
SIMP2000107,Summer_Sale,Adverto,NewsToday,richmedia,Mobile,2025-07-25 12:00:16.248179,click,25.31,1.9726,N,CR9585
